title,company,ratings,reviews,experience,salary,location,days_posted,url
Data scientist,Varite,3.8,89 Reviews,6-10 Yrs,Not disclosed,Pune,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-varite-pune-6-to-10-years-161222500404
Data Science Leader,Johnson Controls,3.8,2180 Reviews,8-9 Yrs,Not disclosed,Pune,30+ Days Ago,https://www.naukri.com/job-listings-data-science-leader-johnson-controls-pune-8-to-9-years-140123501246
Jr. Data Science Engineer,Bioenable Technologies,3.2,14 Reviews,0-2 Yrs,Not disclosed,"Pune, Magarpatta City",7 Days Ago,https://www.naukri.com/job-listings-jr-data-science-engineer-bioenable-technologies-pune-magarpatta-city-0-to-2-years-060323005604
Data Scientist Associate,Transunion,4.3,159 Reviews,0-2 Yrs,Not disclosed,Pune,10 Days Ago,https://www.naukri.com/job-listings-data-scientist-associate-transunion-software-services-pvt-ltd-pune-0-to-2-years-030323500607
Data Scientist - Phd only,NDS InfoServ,1.5,4 Reviews,0-2 Yrs,12-15 Lacs PA,Mumbai,17 Days Ago,https://www.naukri.com/job-listings-data-scientist-phd-only-nds-infoserv-mumbai-0-to-2-years-010421006391
Junior Software Engineer - Data Science,LogiNext,3.6,20 Reviews,0-1 Yrs,Not disclosed,Mumbai,30+ Days Ago,https://www.naukri.com/job-listings-junior-software-engineer-data-science-loginext-solutions-mumbai-0-to-1-years-140922502287
Data Scientist,Encora,4.1,216 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,https://www.naukri.com/job-listings-data-scientist-encora-innovation-labs-india-private-limited-bangalore-bengaluru-3-to-5-years-270223903559
Senior Data Scientist,Anixter,5.0,3 Reviews,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,9 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-anixter-bangalore-bengaluru-10-to-12-years-040323500053
Senior Data Scientist,News Technology Services,4.0,42 Reviews,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,10 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-news-technology-services-bangalore-bengaluru-4-to-9-years-030323501468
Data Scientist,Consus Consulting Group,3.4,39 Reviews,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,10 Days Ago,https://www.naukri.com/job-listings-data-scientist-consus-consulting-group-bangalore-bengaluru-8-to-13-years-030323006673
Senior Data Scientist - Python/Deep Learning Algorithms,Successr Hr Tech,3.8,7 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,12 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-python-deep-learning-algorithms-successr-hr-tech-bangalore-bengaluru-5-to-10-years-010323911216
Senior Data Scientist,Successr Hr Tech,3.8,7 Reviews,5-10 Yrs,Not disclosed,Temp. WFH - Bangalore/Bengaluru,12 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-successr-hr-tech-bangalore-bengaluru-5-to-10-years-010323911096
Data Scientist,Successr Hr Tech,3.8,7 Reviews,2-7 Yrs,Not disclosed,Temp. WFH - Bangalore/Bengaluru,12 Days Ago,https://www.naukri.com/job-listings-data-scientist-successr-hr-tech-bangalore-bengaluru-2-to-7-years-010323911024
Data Science Professional - Contract To Hire,Successr Hr Tech,3.8,7 Reviews,4-8 Yrs,Not disclosed,Temp. WFH - Bangalore/Bengaluru,12 Days Ago,https://www.naukri.com/job-listings-data-science-professional-contract-to-hire-successr-hr-tech-bangalore-bengaluru-4-to-8-years-010323909677
Data Scientist,Shyam Steel,3.7,342 Reviews,3-8 Yrs,Not disclosed,Kolkata,13 Days Ago,https://www.naukri.com/job-listings-data-scientist-shyam-steel-kolkata-3-to-8-years-280223009692
Principal Data Scientist with AiraMatrix(Product Company),Airamatrix,3.7,11 Reviews,6-11 Yrs,Not disclosed,"Thane, Hyderabad/Secunderabad",Today,https://www.naukri.com/job-listings-principal-data-scientist-with-airamatrix-product-company-airamatrix-thane-hyderabad-secunderabad-6-to-11-years-280123000067
