title,company,ratings,reviews,experience,salary,location,days_posted,tags,url
Data Scientist,Tredence,3.8,182 Reviews,2-5 Yrs,Not disclosed,"Hybrid - Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",30+ Days Ago, python machine learning statistical modeling deep learning modeling statistics machine process,https://www.naukri.com/job-listings-data-scientist-tredence-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-2-to-5-years-090223005069
Staff Data Scientist,Baker Hughes,4.2,322 Reviews,10-12 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",24 Days Ago, management computer vision technology management collections advanced analytics analysis deep learning computer,https://www.naukri.com/job-listings-staff-data-scientist-baker-hughes-the-network-mumbai-bangalore-bengaluru-10-to-12-years-170223504384
Analyst/ Analytics Specialist (Data Scientist),TransOrg,2.1,23 Reviews,2-6 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram",7 Days Ago, Python analysis r data mining quantitative analysis quantitative analytics sql,https://www.naukri.com/job-listings-analyst-analytics-specialist-data-scientist-transorg-analytics-mumbai-gurgaon-gurugram-2-to-6-years-060323905462
Data Scientist (Associate / Assistant Vice President),Deutsche Bank,4.2,2208 Reviews,10-16 Yrs,Not disclosed,"Jaipur, Bangalore/Bengaluru",7 Days Ago, SQL Server Development SQL Development Tableau assistance server side development sql serv data,https://www.naukri.com/job-listings-data-scientist-associate-assistant-vice-president-deutsche-bank-jaipur-bangalore-bengaluru-10-to-16-years-270123003204
Senior Advisory Data Scientist,IBM,4.2,15996 Reviews,10-15 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, Supply chain Analytical Open source SQL Python data science science git,https://www.naukri.com/job-listings-senior-advisory-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-10-to-15-years-090323909866
Senior Data Scientist,IBM,4.2,15996 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, deep learning Analytical Machine learning SQL Python data science science open source,https://www.naukri.com/job-listings-senior-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-6-to-8-years-090323909863
Advisory Data Scientist,IBM,4.2,15996 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, data science Machine learning Spark big data SQL reliability engineering engineering pytorch,https://www.naukri.com/job-listings-advisory-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-4-to-8-years-090323906825
Senior Advisory Data Scientist,IBM,4.2,15996 Reviews,10-14 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, reliability engineering machine learning SQL Python engineering data advisory git,https://www.naukri.com/job-listings-senior-advisory-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-10-to-14-years-090323905879
Advisory Data Scientist,IBM,4.2,15996 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, data science reliability engineering machine learning SQL Python engineering deep learning machine,https://www.naukri.com/job-listings-advisory-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-4-to-8-years-090323905870
Data Scientist,Capgemini,3.9,25395 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, data science deep learning matlab machine learning python tableau pandas hadoop,https://www.naukri.com/job-listings-data-scientist-capgemini-bangalore-bengaluru-3-to-5-years-090323904277
"Principal, Data Scientist",AT&T,4.3,315 Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, management team building team building training workflow monitoring sql,https://www.naukri.com/job-listings-principal-data-scientist-at-t-bangalore-bengaluru-5-to-8-years-090323501800
Assistant Vice President,EXL,3.9,5532 Reviews,10-16 Yrs,Not disclosed,Bangalore/Bengaluru,6 Days Ago, data science networking deep learning machine assistance model development data deployment,https://www.naukri.com/job-listings-assistant-vice-president-exl-services-com-i-pvt-ltd-bangalore-bengaluru-10-to-16-years-070323501476
Data Scientist,A.P. Moller Maersk,4.4,2393 Reviews,5-10 Yrs,8-14 Lacs PA,Hybrid - Bangalore/Bengaluru,6 Days Ago, Data Science python Machine Learning intelligence artificial intelligence machine data aiml,https://www.naukri.com/job-listings-data-scientist-a-p-moller-maersk-bangalore-bengaluru-5-to-10-years-070323003447
Intern (Technical-Engineering),Synopsys (india),4.2,171 Reviews,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago, python data science science machine learning intelligence big data analytics artificial intelligence analytics,https://www.naukri.com/job-listings-intern-technical-engineering-synopsys-india-private-limited-bangalore-bengaluru-0-to-2-years-100323500255
Data Scientist,IB Services &amp;amp; Technologies,3.1,2 Reviews,2-4 Yrs,Not disclosed,"Noida, Mumbai, Pune",30+ Days Ago, sql machine learning cloud computing data deployment machine architecture deep learning,https://www.naukri.com/job-listings-data-scientist-ib-services-amp-amp-technologies-noida-mumbai-pune-2-to-4-years-121222502945
Job Opening Data Scientist role @ GlobalData (Hyd),Globaldata,3.9,336 Reviews,0-2 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Kondapur",7 Days Ago, python natural language processing Data Scientist market research machine learning research statistics processing,https://www.naukri.com/job-listings-opening-data-scientist-role-globaldata-hyd-globaldata-hyderabad-secunderabad-kondapur-0-to-2-years-060323004437
Data Science - Deputy Manager,Vodafone,4.2,13574 Reviews,3-8 Yrs,10-20 Lacs PA,Hybrid - Pune(Viman Nagar),Just Now, Data Science python statistical modeling deep learning modeling statistics pyspark analytics,https://www.naukri.com/job-listings-data-science-deputy-manager-vodafone-intelligent-solutions-pune-3-to-8-years-130323008074
Data Scientist,Capgemini,3.9,25395 Reviews,6-10 Yrs,Not disclosed,Mumbai,4 Days Ago, Data Scientist microsoft visual studio data warehousing power bi sql microsoft azure data,https://www.naukri.com/job-listings-data-scientist-capgemini-mumbai-6-to-10-years-090323904303
Data Scientist Tableau,Capgemini,3.9,25395 Reviews,5-10 Yrs,Not disclosed,Mumbai,4 Days Ago, Tableau engineering data science data engineering data big data data structures science,https://www.naukri.com/job-listings-data-scientist-tableau-capgemini-mumbai-5-to-10-years-090323904293
"Data Scientist @ Vidya Vihar,  Mumbai",Metropolis Healthcare,4.1,528 Reviews,2-7 Yrs,Not disclosed,Mumbai (All Areas),5 Days Ago, advance sql python power bi Tableau bi sql data science,https://www.naukri.com/job-listings-data-scientist-vidya-vihar-mumbai-metropolis-healthcare-mumbai-all-areas-2-to-7-years-080323005194
Data Specialist,Telstra,4.1,107 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago, Power Bi vba bi sql sas data hfr smartview,https://www.naukri.com/job-listings-data-specialist-telstra-global-business-services-llp-bangalore-bengaluru-2-to-5-years-280223913554
Data Scientist,Techneplus,3.9,8 Reviews,3-8 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru",20 Days Ago, computer data mining resource allocation analytics sas computer science sql improvement,https://www.naukri.com/job-listings-data-scientist-techneplus-noida-bangalore-bengaluru-3-to-8-years-210223500864
ASSOCIATE DATA SCIENTIST,Hinduja Global Solutions (HGS),4.0,6198 Reviews,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,10 Days Ago, microsoft data mining text mining oracle big data mysql sql data,https://www.naukri.com/job-listings-associate-data-scientist-hinduja-global-solutions-ltd-bangalore-bengaluru-1-to-3-years-030323500470
Data Scientist - M & T,Accolite Software India Pvt Ltd,3.8,387 Reviews,8-9 Yrs,Not disclosed,Bangalore/Bengaluru,11 Days Ago, coding automation research t linear regression machine computer science data,https://www.naukri.com/job-listings-data-scientist-m-t-accolite-software-india-pvt-ltd-bangalore-bengaluru-8-to-9-years-020323500897
Data Scientist,Gartner India Research &amp; Advisory Services Pvt Ltd,4.1,184 Reviews,2-7 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, collections analytical recruitment analytics data econometrics data analysis financial services,https://www.naukri.com/job-listings-data-scientist-gartner-india-research-amp-advisory-services-pvt-ltd-gurgaon-gurugram-2-to-7-years-310123502612
AVP - Data Scientist.,Aye Finance,4.3,768 Reviews,2-6 Yrs,6-10 Lacs PA,Gurgaon/Gurugram,21 Days Ago, python Data Engineering Docker Deployment engineering data pipeline data avp,https://www.naukri.com/job-listings-avp-data-scientist-aye-finance-gurgaon-gurugram-2-to-6-years-190123010409
Engineer/Assistant Manager - Data Scientist,Goods and Services Tax Network (GSTN),4.2,12 Reviews,2-7 Yrs,Not disclosed,Delhi / NCR,1 Day Ago, Java Tsql Queries Python SQL engineering assistance data t-sql,https://www.naukri.com/job-listings-engineer-assistant-manager-data-scientist-goods-and-services-tax-network-gstn-delhi-ncr-2-to-7-years-130323003849
